total familias distintas (combinado 4 archivos): 173
OTROS REPUESTOS -> 3094 | tipos: INSUMOS,REPUESTOS,SUMINISTROS,ACCESORIOS,PUBLICITARIO
VARIOS -> 1613 | tipos: ACCESORIOS,REPUESTOS,INSUMOS,SUMINISTROS,PUBLICITARIO
ACCESORIOS -> 1231 | tipos: INSUMOS,SUMINISTROS,REPUESTOS,ACCESORIOS,NO DEFINIDO
SPOILER -> 556 | tipos: REPUESTOS
OTROS SIN DSCTO -> 318 | tipos: ACCESORIOS,REPUESTOS,INSUMOS
FILTRO DE AIRE -> 278 | tipos: REPUESTOS,ACCESORIOS
PASTILLAS -> 210 | tipos: REPUESTOS
FARO -> 194 | tipos: ACCESORIOS,REPUESTOS,INSUMOS
HERRAMIENTAS -> 168 | tipos: INSUMOS,ACCESORIOS,SUMINISTROS,REPUESTOS
RETENES -> 161 | tipos: REPUESTOS
CAUTIVO MOTOR -> 132 | tipos: SUMINISTROS,INSUMOS,REPUESTOS
AMORTIGUADOR -> 126 | tipos: REPUESTOS,PUBLICITARIO
FILTRO DE ACEITE -> 107 | tipos: REPUESTOS,ACCESORIOS,PUBLICITARIO
CAUTIVO ELECTRICO -> 106 | tipos: REPUESTOS,INSUMOS
FAJAS -> 96 | tipos: REPUESTOS
CAUTIVO ELECTRICO Y COLISION -> 95 | tipos: REPUESTOS,ACCESORIOS
FILTRO DE COMBUSTIBL -> 92 | tipos: REPUESTOS
CAUTIVO SUSP, DIREC Y FRENO -> 86 | tipos: REPUESTOS
ARTICULO QUIMICO -> 81 | tipos: INSUMOS,REPUESTOS,SUMINISTROS
EMPAQUE DE MOTOR VARIOS Y TAPONES -> 68 | tipos: REPUESTOS
PARACHOQUES -> 64 | tipos: REPUESTOS
BUJIAS -> 63 | tipos: REPUESTOS
TERMINALES DIRECCION -> 60 | tipos: REPUESTOS,PUBLICITARIO
ZAPATAS -> 54 | tipos: REPUESTOS
PASTILLAS (MVP) -> 52 | tipos: REPUESTOS
PLUMILLAS Y JEBES -> 51 | tipos: REPUESTOS
CHASIS CABINA -> 50 | tipos: REPUESTOS,INSUMOS
OTROS QUIMICOS -> 46 | tipos: INSUMOS,NO DEFINIDO,REPUESTOS,SUMINISTROS
MANGUERA -> 46 | tipos: REPUESTOS,INSUMOS,ACCESORIOS
MASCARA -> 46 | tipos: REPUESTOS
TRAPECIO -> 45 | tipos: REPUESTOS
MOTOR CAUTIVO -> 44 | tipos: REPUESTOS
SOPORTE DE MOTOR -> 43 | tipos: REPUESTOS
COLLARIN -> 40 | tipos: REPUESTOS
CAUTIVO CAJA DE CAMBIOS -> 35 | tipos: REPUESTOS
BOMBA DE ACEITE Y AC -> 34 | tipos: REPUESTOS
CHASIS DIFERENCIAL -> 34 | tipos: REPUESTOS,INSUMOS,SUMINISTROS
FILTRO DE ACEITE(MVP -> 33 | tipos: REPUESTOS
BOCINA -> 29 | tipos: REPUESTOS
ESPEJOS -> 29 | tipos: REPUESTOS
PI -> 26 | tipos: INSUMOS,SUMINISTROS,REPUESTOS
RADIADOR -> 24 | tipos: REPUESTOS
BOMBA DE AGUA Y ACCE -> 23 | tipos: REPUESTOS
TERMOSTATO -> 23 | tipos: REPUESTOS
SUSP.DIRECC. Y FRENO -> 22 | tipos: REPUESTOS
FAJA DE DISTRIBUCION -> 22 | tipos: REPUESTOS
DISTRIBUIDOR + PARTES -> 21 | tipos: REPUESTOS
DISCO DE EMBRAGUE -> 21 | tipos: REPUESTOS
LUNAS -> 21 | tipos: REPUESTOS
CAUTIVO RADIADOR -> 20 | tipos: REPUESTOS
CHASIS DIRECCION -> 20 | tipos: INSUMOS,ACCESORIOS,REPUESTOS
COLLARIN EMBRAGUE -> 20 | tipos: REPUESTOS
JGO. DE EMPAQUE MOTO -> 18 | tipos: REPUESTOS
GUARDAFANGO -> 17 | tipos: REPUESTOS
PLATO DE EMBRAGUE -> 17 | tipos: REPUESTOS
EMBLEMA -> 17 | tipos: REPUESTOS
VENTILADOR+MOTOR DE VENT -> 16 | tipos: REPUESTOS
PUERTA Y COMPUERTA -> 16 | tipos: REPUESTOS
CABINA Y ARMAZON DE CABINA -> 15 | tipos: REPUESTOS,ACCESORIOS
TAMBOR DE FRENO -> 15 | tipos: REPUESTOS
TAPA RADIADOR -> 15 | tipos: REPUESTOS
ACEITE DE TRANSMISION -> 14 | tipos: REPUESTOS,INSUMOS
POLEA  MOTOR -> 14 | tipos: REPUESTOS
ROTULAS -> 14 | tipos: REPUESTOS
ANILLOS -> 14 | tipos: REPUESTOS
SOPORTE DE SUSPENSION -> 14 | tipos: REPUESTOS
BARRA ESTABILIZADORA -> 13 | tipos: REPUESTOS
CAJA MACANICA -> 12 | tipos: REPUESTOS
ACEITE GASOLINERO -> 12 | tipos: INSUMOS,REPUESTOS
CADENAS -> 12 | tipos: REPUESTOS
PARABRISAS -> 12 | tipos: REPUESTOS
PANELES Y PILARES -> 12 | tipos: REPUESTOS
CHASIS ANGULO -> 11 | tipos: REPUESTOS,INSUMOS
BOCAMAZA -> 11 | tipos: REPUESTOS
TEMPLADOR -> 10 | tipos: REPUESTOS
CREMALLERA DE DIRECC -> 10 | tipos: REPUESTOS
HORQUILLA EMBRAGUE -> 10 | tipos: REPUESTOS
CAPOT -> 10 | tipos: REPUESTOS
O-RING -> 9 | tipos: REPUESTOS
ARRANCADOR -> 9 | tipos: REPUESTOS
CHASIS TRANSMISION -> 9 | tipos: REPUESTOS
SCP -> 9 | tipos: REPUESTOS
VALVULAS -> 9 | tipos: REPUESTOS
VALVULA PSV -> 9 | tipos: REPUESTOS
RESORTE SUSPENSION -> 9 | tipos: REPUESTOS
CA -> 9 | tipos: REPUESTOS
ACEITE PETROLERO -> 8 | tipos: INSUMOS,REPUESTOS
BOMBA DE EMBRAGUE Y -> 8 | tipos: REPUESTOS
GUARDAPOLVO PALIER -> 8 | tipos: REPUESTOS
GUIAS DE VALVULAS -> 8 | tipos: REPUESTOS
CILINDRO FRENO -> 8 | tipos: REPUESTOS
ESCAPE -> 8 | tipos: REPUESTOS
BOMBA DE GASOLINA -> 8 | tipos: REPUESTOS
COJINETE DE MOTOR -> 7 | tipos: REPUESTOS
ACCESORIOS DE FRENOS -> 7 | tipos: REPUESTOS
NUEVA FAMILIA CAMBIAR DESC -> 7 | tipos: INSUMOS,REPUESTOS
RAMAL DE MOTOR -> 7 | tipos: INSUMOS,REPUESTOS
ALTERNADOR -> 7 | tipos: REPUESTOS
COMBO HINO -> 7 | tipos: REPUESTOS
VALVULA (LEVAS) -> 7 | tipos: REPUESTOS,INSUMOS
TANQUE RESERVA AGUA (Y TAPA) -> 7 | tipos: REPUESTOS
CONCENTRADOR -> 7 | tipos: REPUESTOS
CONDENSADOR -> 7 | tipos: REPUESTOS
AIRE ACONDICIONADO -> 7 | tipos: REPUESTOS,INSUMOS
ACEITE GASOLINERO 1/ -> 6 | tipos: REPUESTOS
VARIOS SUSP -> 6 | tipos: INSUMOS,REPUESTOS
CABLE DE BUJIA -> 6 | tipos: REPUESTOS
CARTER MOTOR -> 6 | tipos: REPUESTOS
MOLDURA (POST YARIS) -> 6 | tipos: REPUESTOS
BRIDA AGUA -> 6 | tipos: REPUESTOS
COMPUTADORAS -> 6 | tipos: REPUESTOS
CHASIS FRENO -> 6 | tipos: REPUESTOS,INSUMOS
REPUESTOS ESPECIALES -> 5 | tipos: ACCESORIOS
TEMPLADORES Y POLEAS -> 5 | tipos: REPUESTOS
VOLANTE -> 5 | tipos: REPUESTOS
